--------------------------
 Original         Reverse 
  Number           Number 
--------------------------
         0               0
         1               1
        12              21
       123             321
      1234            4321
     12345           54321
    123456          654321
   1234567         7654321
  12345678        87654321
 123456789       987654321
1463847412      2147483641
         9               9
        98              89
       987             789
      9876            6789
     98765           56789
    987654          456789
   9876543         3456789
  98765432        23456789
 987654321       123456789
1234554321      1234554321
--------------------------
