-----------------------
Original      Encrypted
 Number        Number  
-----------------------
    6254           2139
    1331            880
    1341           1880
    1351           2880
    1361           3880
    1362           3980
    2305           7290
    2311           8890
    3302           7900
    3324           9100
    3344           1100
    4301           7810
    4302           7910
    4316           8310
    4318           8510
    9876           4365
    9999           6666
-----------------------
