-------------
  n      2n  
-------------
06729   13458
06792   13584
06927   13854
07269   14538
07293   14586
07329   14658
07692   15384
07923   15846
07932   15864
09267   18534
09273   18546
09327   18654
13485   26970
13548   27096
13845   27690
14538   29076
14685   29370
14835   29670
14853   29706
14865   29730
15486   30972
16485   32970
18546   37092
18645   37290
20679   41358
20769   41538
20793   41586
23079   46158
26709   53418
26907   53814
27069   54138
27093   54186
27309   54618
29067   58134
29073   58146
29307   58614
30729   61458
30792   61584
30927   61854
31485   62970
32079   64158
32709   65418
32907   65814
34851   69702
35148   70296
35481   70962
38145   76290
38451   76902
45138   90276
45186   90372
45381   90762
46185   92370
46851   93702
48135   96270
48351   96702
48513   97026
48516   97032
48531   97062
48615   97230
48651   97302
-------------
