Reference -- Before:  a = 1, b = 2, c = 3 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 1, b = 2, c = 3 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 1, b = 3, c = 2 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 1, b = 3, c = 2 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 2, b = 1, c = 3 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 2, b = 1, c = 3 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 2, b = 3, c = 1 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 2, b = 3, c = 1 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 3, b = 1, c = 2 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 3, b = 1, c = 2 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 3, b = 2, c = 1 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 3, b = 2, c = 1 After:  a = 1, b = 2, c = 3
