Reference -- Before:  a = 0, b = 5, c = -2 After:  a = -2, b = 0, c = 5
Pointer   -- Before:  a = 0, b = 5, c = -2 After:  a = -2, b = 0, c = 5
Reference -- Before:  a = 0, b = -5, c = 2 After:  a = -5, b = 0, c = 2
Pointer   -- Before:  a = 0, b = -5, c = 2 After:  a = -5, b = 0, c = 2
Reference -- Before:  a = 1, b = 2, c = 3 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 1, b = 2, c = 3 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 1, b = 3, c = 2 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 1, b = 3, c = 2 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 2, b = 1, c = 3 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 2, b = 1, c = 3 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 2, b = 3, c = 1 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 2, b = 3, c = 1 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 3, b = 1, c = 2 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 3, b = 1, c = 2 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = 3, b = 2, c = 1 After:  a = 1, b = 2, c = 3
Pointer   -- Before:  a = 3, b = 2, c = 1 After:  a = 1, b = 2, c = 3
Reference -- Before:  a = -1, b = -2, c = -3 After:  a = -3, b = -2, c = -1
Pointer   -- Before:  a = -1, b = -2, c = -3 After:  a = -3, b = -2, c = -1
Reference -- Before:  a = -1, b = -3, c = -2 After:  a = -3, b = -2, c = -1
Pointer   -- Before:  a = -1, b = -3, c = -2 After:  a = -3, b = -2, c = -1
Reference -- Before:  a = -2, b = -1, c = -3 After:  a = -3, b = -2, c = -1
Pointer   -- Before:  a = -2, b = -1, c = -3 After:  a = -3, b = -2, c = -1
Reference -- Before:  a = -2, b = -3, c = -1 After:  a = -3, b = -2, c = -1
Pointer   -- Before:  a = -2, b = -3, c = -1 After:  a = -3, b = -2, c = -1
Reference -- Before:  a = -3, b = -1, c = -2 After:  a = -3, b = -2, c = -1
Pointer   -- Before:  a = -3, b = -1, c = -2 After:  a = -3, b = -2, c = -1
Reference -- Before:  a = -3, b = -2, c = -1 After:  a = -3, b = -2, c = -1
Pointer   -- Before:  a = -3, b = -2, c = -1 After:  a = -3, b = -2, c = -1
Reference -- Before:  a = 3, b = 3, c = 3 After:  a = 3, b = 3, c = 3
Pointer   -- Before:  a = 3, b = 3, c = 3 After:  a = 3, b = 3, c = 3
Reference -- Before:  a = 3, b = 3, c = 1 After:  a = 1, b = 3, c = 3
Pointer   -- Before:  a = 3, b = 3, c = 1 After:  a = 1, b = 3, c = 3
Reference -- Before:  a = 3, b = 1, c = 3 After:  a = 1, b = 3, c = 3
Pointer   -- Before:  a = 3, b = 1, c = 3 After:  a = 1, b = 3, c = 3
Reference -- Before:  a = 1, b = 3, c = 3 After:  a = 1, b = 3, c = 3
Pointer   -- Before:  a = 1, b = 3, c = 3 After:  a = 1, b = 3, c = 3
Reference -- Before:  a = 2, b = 3, c = 4 After:  a = 2, b = 3, c = 4
Pointer   -- Before:  a = 2, b = 3, c = 4 After:  a = 2, b = 3, c = 4
Reference -- Before:  a = 1, b = 1, c = 3 After:  a = 1, b = 1, c = 3
Pointer   -- Before:  a = 1, b = 1, c = 3 After:  a = 1, b = 1, c = 3
Reference -- Before:  a = 1, b = 3, c = 1 After:  a = 1, b = 1, c = 3
Pointer   -- Before:  a = 1, b = 3, c = 1 After:  a = 1, b = 1, c = 3
Reference -- Before:  a = 3, b = 1, c = 1 After:  a = 1, b = 1, c = 3
Pointer   -- Before:  a = 3, b = 1, c = 1 After:  a = 1, b = 1, c = 3
