Your Name - CS 1337 - Lab 42

whitespace = 13
punctuation = 32
-----------------
Character   Count
-----------------
    0           1
    1           1
    2           1
    3           1
    4           1
    5           1
    6           1
    7           1
    8           1
    9           1
    A           2
    B           2
    C           2
    D           2
    E           2
    F           2
    G           2
    H           2
    I           2
    J           2
    K           2
    L           2
    M           2
    N           2
    O           2
    P           2
    Q           2
    R           2
    S           2
    T           2
    U           2
    V           2
    W           2
    X           2
    Y           2
    Z           2
-----------------
